person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,income_group,debt_to_income_ratio,age_group
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,Medium,0.48348106365834004,26-35
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,Low,0.20833333333333334,18-25
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,High,0.06666666666666667,26-35
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,High,0.08083333333333333,18-25
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,High,0.03333333333333333,26-35
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,High,0.08333333333333333,26-35
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,High,0.06,18-25
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,Medium,0.37179328293468833,26-35
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,Medium,0.45248868778280543,18-25
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,Medium,0.33697263782180886,26-35
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.38,Y,4,Medium,0.38461538461538464,18-25
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,Medium,0.38461538461538464,18-25
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,High,0.32607277944437196,18-25
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,High,0.30927835051546393,18-25
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,High,0.25,18-25
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,High,0.03571428571428571,26-35
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,High,0.07217506784456378,26-35
23,277000,OWN,3.0,PERSONAL,A,35000,7.49,0,0.13,N,4,High,0.1263537906137184,18-25
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,High,0.234375,18-25
24,12000,OWN,2.0,VENTURE,E,1750,16.82,0,0.15,Y,3,Low,0.14583333333333334,18-25
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,High,0.22900763358778625,18-25
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,High,0.04363636363636364,18-25
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,High,0.03802281368821293,26-35
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,High,0.1126887536623845,18-25
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,Medium,0.4157142857142857,18-25
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,Low,0.125,18-25
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,High,0.1076923076923077,26-35
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,High,0.07722007722007722,18-25
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,High,0.03764705882352941,18-25
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,High,0.1,18-25
25,12000,OWN,0.0,MEDICAL,C,3000,13.48,1,0.25,N,3,Low,0.25,18-25
22,56950,RENT,6.0,MEDICAL,A,28000,7.49,1,0.49,N,2,Medium,0.4916593503072871,18-25
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,Low,0.25,18-25
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,Medium,0.4307692307692308,18-25
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,Medium,0.32941176470588235,26-35
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,Low,0.5083333333333333,26-35
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,Medium,0.3181818181818182,18-25
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,Low,0.35,18-25
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,Low,0.3958333333333333,18-25
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,Medium,0.33733314057153874,18-25
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,High,0.072,18-25
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,High,0.28,18-25
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,High,0.2545454545454545,26-35
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,1,0.23,N,4,Low,0.225,26-35
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,High,0.25925925925925924,18-25
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,High,0.18518518518518517,18-25
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,1,0.4,N,2,Medium,0.4,18-25
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,Low,0.2708333333333333,18-25
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,Medium,0.39285714285714285,18-25
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,High,0.10416666666666667,18-25
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,Medium,0.36953551912568305,26-35
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,Medium,0.3253012048192771,18-25
24,73399,RENT,0.0,VENTURE,D,27000,15.31,1,0.37,N,3,Medium,0.36785242305753485,18-25
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,Medium,0.416,18-25
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,High,0.21333333333333335,18-25
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,Low,0.12944983818770225,18-25
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,Medium,0.4245833333333333,18-25
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,High,0.08547008547008547,18-25
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,High,0.08547008547008547,18-25
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,High,0.09230769230769231,26-35
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,High,0.053845179272773346,18-25
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,High,0.10752688172043011,26-35
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,High,0.15217391304347827,18-25
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,Medium,0.30481927710843376,18-25
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,Low,0.15873015873015872,18-25
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,Low,0.1388888888888889,18-25
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,Medium,0.5882352941176471,18-25
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.61,N,3,Medium,0.6097560975609756,18-25
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,Low,0.2340823970037453,18-25
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,Low,0.2816358024691358,18-25
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,High,0.08849557522123894,26-35
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,High,0.13333333333333333,18-25
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,High,0.1643192488262911,26-35
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,High,0.02666666666666667,18-25
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,Low,0.3472222222222222,18-25
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,Low,0.18467220683287167,18-25
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,Medium,0.5952380952380952,18-25
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,Medium,0.5208333333333334,26-35
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,Low,0.2770083102493075,18-25
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,Low,0.3654970760233918,18-25
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,Medium,0.5901794145420207,18-25
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,Medium,0.5102040816326531,18-25
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,High,0.1111111111111111,18-25
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,High,0.013333333333333334,26-35
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,High,0.03333333333333333,18-25
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,High,0.1111111111111111,26-35
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,Medium,0.5054180818372959,18-25
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,Medium,0.5,18-25
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,Medium,0.5,18-25
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,Medium,0.5681818181818182,18-25
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,Medium,0.5,18-25
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,Medium,0.49996000319974404,18-25
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,Medium,0.49996000319974404,18-25
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,Medium,0.4807692307692308,18-25
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,Low,0.375,18-25
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,High,0.11363636363636363,18-25
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,High,0.09722222222222222,18-25
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,High,0.11574074074074074,18-25
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,High,0.09259259259259259,26-35
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,High,0.16279069767441862,18-25
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,High,0.05581395348837209,26-35
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,Medium,0.4807692307692308,18-25
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,Medium,0.5434782608695652,26-35
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,Medium,0.4716981132075472,18-25
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,Medium,0.5319148936170213,26-35
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,Medium,0.5319148936170213,18-25
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,Low,0.10606060606060606,18-25
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,Low,0.3409090909090909,18-25
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,High,0.0761904761904762,18-25
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,High,0.10476190476190476,26-35
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,Medium,0.5208333333333334,26-35
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,Medium,0.4545785148010764,18-25
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.45,Y,4,Medium,0.45454545454545453,18-25
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,Medium,0.45454545454545453,18-25
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,Medium,0.45454545454545453,18-25
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,Medium,0.4531941121020956,18-25
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,Medium,0.44642857142857145,26-35
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,High,0.09828009828009827,18-25
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,High,0.11578947368421053,18-25
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,Low,0.5567528735632183,18-25
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,Medium,0.4166666666666667,18-25
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,Medium,0.4166666666666667,18-25
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,Medium,0.46296296296296297,26-35
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,15.31,1,0.29,N,3,Low,0.2857142857142857,18-25
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,High,0.06,18-25
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,High,0.06,18-25
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,High,0.08,18-25
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,Medium,0.46296296296296297,18-25
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,Medium,0.4166666666666667,18-25
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,Medium,0.4166666666666667,18-25
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,Medium,0.4166666666666667,18-25
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,Medium,0.4034926322245356,18-25
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,Medium,0.4432624113475177,18-25
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,7.49,0,0.14,N,2,High,0.14,18-25
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,High,0.125,18-25
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,High,0.12,18-25
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,High,0.075,26-35
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,High,0.0775,18-25
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,High,0.05,18-25
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,Medium,0.3787878787878788,18-25
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,Medium,0.3787878787878788,18-25
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,High,0.045,18-25
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,High,0.09,18-25
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,High,0.06,18-25
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,High,0.11525,18-25
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,High,0.1,18-25
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,16.82,1,0.42,Y,2,Medium,0.4166666666666667,18-25
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,Low,0.20833333333333334,18-25
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,Medium,0.37315660636455905,26-35
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,Medium,0.373134328358209,18-25
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,Medium,0.373134328358209,18-25
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,Medium,0.36764705882352944,18-25
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,Medium,0.36231884057971014,18-25
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,High,0.06,18-25
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,High,0.10638297872340426,26-35
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,High,0.015,26-35
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,Medium,0.35716326647236984,18-25
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,Low,0.2777777777777778,18-25
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,Medium,0.35714285714285715,18-25
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,Low,0.4166666666666667,18-25
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,Medium,0.44563279857397503,18-25
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,Medium,0.3787878787878788,18-25
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,Medium,0.3787878787878788,26-35
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,Low,0.3732638888888889,18-25
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,Medium,0.3442957086982868,18-25
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,Medium,0.33783783783783783,18-25
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,Medium,0.3333333333333333,18-25
24,192000,RENT,0.0,MEDICAL,C,22000,13.48,0,0.11,Y,2,High,0.11458333333333333,18-25
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,High,0.05235602094240838,18-25
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,7.49,0,0.08,N,3,High,0.0788229111928534,26-35
22,190000,MORTGAGE,3.0,VENTURE,C,10000,13.48,0,0.05,N,3,High,0.05263157894736842,18-25
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,Medium,0.3333333333333333,18-25
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,Medium,0.352112676056338,18-25
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,High,0.10526315789473684,26-35
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,High,0.12631844880944862,18-25
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,13.48,1,0.32,Y,2,Medium,0.32051282051282054,18-25
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,Medium,0.32051282051282054,18-25
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,Medium,0.3184551105676144,18-25
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,High,0.053763440860215055,18-25
24,185000,MORTGAGE,4.0,EDUCATION,B,35000,12.42,0,0.19,N,2,High,0.1891891891891892,18-25
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,High,0.08108108108108109,18-25
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,Medium,0.40290088638195004,18-25
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,Medium,0.3147980255867835,18-25
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,Low,0.4340277777777778,18-25
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,Medium,0.3139480855445744,18-25
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,Medium,0.3139441430580671,18-25
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,13.48,0,0.1,N,4,Low,0.10416666666666667,18-25
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,Medium,0.3125,18-25
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,Medium,0.3125,26-35
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,High,0.13513513513513514,18-25
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,High,0.02702702702702703,26-35
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,High,0.11892406158104134,18-25
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,High,0.01358695652173913,18-25
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,High,0.11627906976744186,18-25
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,High,0.1092896174863388,18-25
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,7.49,0,0.01,N,2,High,0.00546448087431694,18-25
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,High,0.08198871835235472,18-25
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,Medium,0.33781957732014484,18-25
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,15.31,1,0.34,Y,4,Medium,0.33781957732014484,26-35
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,Medium,0.30864197530864196,18-25
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,Medium,0.30637254901960786,18-25
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,Medium,0.3048780487804878,18-25
